Config_ID,State_ID,Agent,Sims,Threads,Chosen_Move_Idx,Oracle_Score,Time_Ms
21,9,Root,1000,2,241,0.1975,13.2686
22,0,Root,1000,4,40,0.7451,8.1411
22,1,Root,1000,4,63,0.5658,8.4503
22,2,Root,1000,4,112,0.5150,8.4806
22,3,Root,1000,4,129,0.8286,8.4484
22,4,Root,1000,4,23,0.3407,8.0622
22,5,Root,1000,4,18,0.4222,7.9934
22,6,Root,1000,4,38,0.6053,5.9690
22,7,Root,1000,4,95,0.5312,6.7111
22,8,Root,1000,4,258,0.4472,5.9673
22,9,Root,1000,4,39,0.5796,6.8388
23,0,Root,1000,8,100,0.4379,8.0094
23,1,Root,1000,8,171,0.5592,9.3694
23,2,Root,1000,8,21,0.4611,13.4302
23,3,Root,1000,8,94,0.8500,11.8223
23,4,Root,1000,8,163,0.3761,13.5863
23,5,Root,1000,8,144,0.6444,10.8142
23,6,Root,1000,8,262,0.5658,12.1685
23,7,Root,1000,8,78,0.7125,12.8488
23,8,Root,1000,8,95,0.4472,11.2866
23,9,Root,1000,8,64,0.5287,12.4061
24,0,LockFree,1000,2,122,0.6405,11.3263
24,1,LockFree,1000,2,144,0.4671,13.9124
24,2,LockFree,1000,2,138,0.4251,13.3559
24,3,LockFree,1000,2,94,0.8500,12.4379
24,4,LockFree,1000,2,38,0.5133,12.1261
24,5,LockFree,1000,2,199,0.5037,12.6877
24,6,LockFree,1000,2,57,0.6053,11.6762
24,7,LockFree,1000,2,64,0.5750,14.3975
24,8,LockFree,1000,2,137,0.7588,12.4291
24,9,LockFree,1000,2,125,0.4076,13.4662
25,0,LockFree,1000,4,44,0.6536,8.2425
25,1,LockFree,1000,4,192,0.5395,8.5156
25,2,LockFree,1000,4,142,0.5210,8.4903
25,3,LockFree,1000,4,261,0.5857,8.5620
25,4,LockFree,1000,4,130,0.4336,8.2892
25,5,LockFree,1000,4,106,0.7852,8.8514
25,6,LockFree,1000,4,40,0.4803,8.0443
25,7,LockFree,1000,4,217,0.5312,9.1108
25,8,LockFree,1000,4,124,0.6935,7.8632
25,9,LockFree,1000,4,65,0.6497,8.9353
26,0,LockFree,1000,8,45,0.6928,6.8831
26,1,LockFree,1000,8,72,0.4737,7.3636
26,2,LockFree,1000,8,256,0.6467,6.9971
26,3,LockFree,1000,8,24,1.0000,10.4506
26,4,LockFree,1000,8,72,0.2876,12.4088
26,5,LockFree,1000,8,90,0.6667,11.4173
26,6,LockFree,1000,8,81,0.6908,7.6117
26,7,LockFree,1000,8,130,0.6750,10.2681
26,8,LockFree,1000,8,24,0.3719,7.1176
26,9,LockFree,1000,8,62,0.8726,8.7102
27,0,VirtualLoss,1000,2,49,0.6340,11.5824
27,1,VirtualLoss,1000,2,114,0.7895,12.0975
27,2,VirtualLoss,1000,2,145,0.7605,12.9294
27,3,VirtualLoss,1000,2,25,0.5286,12.3728
27,4,VirtualLoss,1000,2,29,0.8805,12.9987
27,5,VirtualLoss,1000,2,21,0.6593,13.4773
27,6,VirtualLoss,1000,2,27,0.7039,11.9094
27,7,VirtualLoss,1000,2,132,0.8875,13.2799
27,8,VirtualLoss,1000,2,69,0.3618,11.1827
27,9,VirtualLoss,1000,2,21,0.5223,12.8755
28,0,VirtualLoss,1000,4,19,0.5359,8.7829
28,1,VirtualLoss,1000,4,54,0.6842,8.4311
28,2,VirtualLoss,1000,4,24,0.4371,8.9602
28,3,VirtualLoss,1000,4,78,0.5429,9.0757
28,4,VirtualLoss,1000,4,29,0.8805,8.5679
28,5,VirtualLoss,1000,4,38,0.8296,9.3886
28,6,VirtualLoss,1000,4,69,0.6776,8.6500
28,7,VirtualLoss,1000,4,148,0.4625,10.0401
28,8,VirtualLoss,1000,4,79,1.0000,8.0242
28,9,VirtualLoss,1000,4,59,0.6242,9.2793
29,0,VirtualLoss,1000,8,61,0.5294,7.5103
29,1,VirtualLoss,1000,8,42,0.5329,11.3672
29,2,VirtualLoss,1000,8,161,0.5329,6.5125
29,3,VirtualLoss,1000,8,162,0.5786,6.0444
29,4,VirtualLoss,1000,8,92,0.3053,6.0749
29,5,VirtualLoss,1000,8,79,0.5333,7.2572
29,6,VirtualLoss,1000,8,228,0.5395,4.3092
29,7,VirtualLoss,1000,8,145,1.0000,6.0285
29,8,VirtualLoss,1000,8,74,0.6080,6.8963
29,9,VirtualLoss,1000,8,90,0.5223,6.8006
30,0,WuUct,1000,2,48,0.5752,11.8217
30,1,WuUct,1000,2,133,0.5132,12.3590
30,2,WuUct,1000,2,140,0.5329,12.5305
30,3,WuUct,1000,2,127,0.6000,13.4884
30,4,WuUct,1000,2,43,0.4735,12.5131
30,5,WuUct,1000,2,246,0.4519,12.8240
30,6,WuUct,1000,2,19,0.6118,11.6960
30,7,WuUct,1000,2,177,0.7500,13.1675
30,8,WuUct,1000,2,247,0.4573,11.7809
30,9,WuUct,1000,2,81,0.4140,13.3338
31,0,WuUct,1000,4,49,0.6340,7.1882
31,1,WuUct,1000,4,266,0.5132,7.1738
31,2,WuUct,1000,4,27,0.2754,7.5376
31,3,WuUct,1000,4,31,0.6643,7.8012
31,4,WuUct,1000,4,190,0.7611,7.7441
31,5,WuUct,1000,4,59,0.5556,7.5924
31,6,WuUct,1000,4,160,0.7632,6.9602
31,7,WuUct,1000,4,64,0.5750,7.8193
31,8,WuUct,1000,4,226,0.3819,7.0908
31,9,WuUct,1000,4,57,0.5987,8.0480
32,0,WuUct,1000,8,42,0.4379,16.0310
32,1,WuUct,1000,8,90,0.7632,9.9946
32,2,WuUct,1000,8,213,0.2874,9.9889
32,3,WuUct,1000,8,124,0.4214,8.2346
32,4,WuUct,1000,8,60,0.3186,5.9703
32,5,WuUct,1000,8,106,0.7852,4.9187
32,6,WuUct,1000,8,76,0.7237,5.0918
32,7,WuUct,1000,8,69,0.3750,7.6953
32,8,WuUct,1000,8,200,0.4673,4.7350
32,9,WuUct,1000,8,176,0.4968,7.1560
33,0,Sequential,2000,1,37,0.6732,46.0795
33,1,Sequential,2000,1,143,0.8553,46.8310
33,2,Sequential,2000,1,81,0.6048,49.1939
33,3,Sequential,2000,1,114,0.4286,49.5063
33,4,Sequential,2000,1,127,1.0000,46.6637
33,5,Sequential,2000,1,205,0.5926,49.6375
33,6,Sequential,2000,1,91,0.4868,45.5569
33,7,Sequential,2000,1,205,0.7375,53.8935
33,8,Sequential,2000,1,93,0.3719,45.8317
33,9,Sequential,2000,1,103,0.4268,50.2310
34,0,Leaf,2000,2,142,0.8562,26.3018
34,1,Leaf,2000,2,29,0.3816,26.3289
34,2,Leaf,2000,2,128,0.5868,28.5543
34,3,Leaf,2000,2,97,0.4571,26.6683
34,4,Leaf,2000,2,127,1.0000,27.5678
34,5,Leaf,2000,2,144,0.6444,29.2938
34,6,Leaf,2000,2,160,0.7632,26.0334
34,7,Leaf,2000,2,62,0.6813,28.9477
34,8,Leaf,2000,2,79,1.0000,27.5869
34,9,Leaf,2000,2,176,0.4968,27.9122
35,0,Leaf,2000,4,227,0.5621,14.4219
35,1,Leaf,2000,4,128,0.7500,14.0456
35,2,Leaf,2000,4,139,0.5868,14.6423
35,3,Leaf,2000,4,43,0.6429,14.9738
35,4,Leaf,2000,4,127,1.0000,16.0882
35,5,Leaf,2000,4,56,0.6148,15.8787
35,6,Leaf,2000,4,246,0.4079,15.0450
35,7,Leaf,2000,4,53,0.4875,15.1797
35,8,Leaf,2000,4,43,0.3719,14.6264
35,9,Leaf,2000,4,160,0.9045,15.9751
36,0,Leaf,2000,8,40,0.7451,34.8621
36,1,Leaf,2000,8,224,0.4079,31.0255
36,2,Leaf,2000,8,19,0.4671,63.5659
36,3,Leaf,2000,8,37,0.6571,96.5885
36,4,Leaf,2000,8,19,0.3407,24.2660
36,5,Leaf,2000,8,21,0.6593,34.4921
36,6,Leaf,2000,8,32,0.6118,20.5773
36,7,Leaf,2000,8,240,0.5563,17.6509
36,8,Leaf,2000,8,190,0.5377,17.6243
36,9,Leaf,2000,8,30,0.5287,43.4405
37,0,Root,2000,2,108,0.6144,24.8409
37,1,Root,2000,2,44,0.4737,25.9215
37,2,Root,2000,2,27,0.2754,25.7542
37,3,Root,2000,2,208,0.5786,25.4472
37,4,Root,2000,2,240,0.2965,24.5442
37,5,Root,2000,2,144,0.6444,26.0029
37,6,Root,2000,2,228,0.5395,23.4477
37,7,Root,2000,2,132,0.8875,27.9362
37,8,Root,2000,2,214,0.5075,24.9413
37,9,Root,2000,2,162,0.9936,26.3446
38,0,Root,2000,4,188,0.5686,12.1169
38,1,Root,2000,4,194,0.4211,12.4812
38,2,Root,2000,4,44,0.5988,12.5115
38,3,Root,2000,4,94,0.8500,12.6455
38,4,Root,2000,4,127,1.0000,12.1076
38,5,Root,2000,4,175,0.7185,12.8636
38,6,Root,2000,4,210,1.0000,13.2144
38,7,Root,2000,4,66,0.7188,15.5093
38,8,Root,2000,4,79,1.0000,13.2301
38,9,Root,2000,4,176,0.4968,17.9222
39,0,Root,2000,8,131,0.7451,13.3946
